drh_id,int_id,name,poll_type,year_from,year_to,region,lat,lon
RW50cnk6MTk2Ng==,1966,Cherubim & Seraphim Movement Church (Worldwide) Ayo Ni O,religious_group,1972,2023,"Ibadan, Oyo State, Nigeria",7.38,3.9
RW50cnk6Nzk3,797,Native-Roman Auxiliary Cavalry Depositional Ritual Participants,religious_group,-100,500,British Isles and NW Europe,52.0,0.0
RW50cnk6MTAyNA==,1024,Universal Salvation Ritual,religious_group,1200,1920,Zhejiang; Shanxi,29.5,120.0
RW50cnk6MTMxOQ==,1319,Reginistas,religious_group,1968,2022,"Mexico City, and Aldea de los Reyes in Amecameca (State of Mexico)",19.2,-98.8
RW50cnk6MjY3MQ==,2671,Gardnerian Wicca,religious_group,1939,2025,"Europe, the Americas, and Australia and New Zealand",,
RW50cnk6Mjc1OQ==,2759,Lạc Healing,religious_group,2022,2026,Vietnam5,14.0583,108.2772
RW50cnk6ODYz,863,Orphism,religious_group,-550,450,Roman Empire (Greatest Extent),41.9028,12.4964
RW50cnk6NzUy,752,Haroi,religious_group,1470,2019,Cham H'roi,13.5,108.5
RW50cnk6MTM5Nw==,1397,The Classic Period Peripheral Coastal Lowlands Ritual Ballgame Cult,religious_group,400,1000,Peripheral Coastal Lowlands,10.0,107.0
RW50cnk6MTM3Ng==,1376,African Initiated Churches,religious_group,1900,2022,"Moria, Limpopo, South Africa",-23.9,29.8
RW50cnk6Mjc2OA==,2768,Alexandrian Wicca,religious_group,1961,2026,Great Britain_Political Territory,54.0,-2.0
RW50cnk6MjcwOQ==,2709,Yoruba Indigenous religion,religious_group,20,21,Osun,7.76,4.56
RW50cnk6MTk0MA==,1940,"The Holy Apostles Community, Ori-Oke Iwamimo",religious_group,1950,2023,"Ori-Oke Iwamimo, Ilaje local government area of Ondo State, Nigeria",6.55,5.0
RW50cnk6NjQ1,645,"Meo Muslim, Mev, Mewati Muslim",religious_group,1100,2020,"Haryana, Rajasthan, and Eastern Uttar Pradesh, North India",27.0,76.0
