culture_id,cluster_id,method
Sd6,0,kmeans
WNAI57,0,kmeans
Ii9,2,kmeans
Ae40,0,kmeans
Ab20,0,kmeans
SCCS14,3,kmeans
WNAI50,0,kmeans
Nd22,0,kmeans
CARNEIRO4_057,0,kmeans
ch13,0,kmeans
Eb8,0,kmeans
CARNEIRO4_059,0,kmeans
Af2,4,kmeans
Ai26,0,kmeans
Ai7,4,kmeans
Ab9,2,kmeans
Ag30,0,kmeans
Ih13,0,kmeans
Ih8,2,kmeans
CARNEIRO4_012,0,kmeans
Ia2,2,kmeans
WNAI73,0,kmeans
Nb1,2,kmeans
Na16,0,kmeans
Na2,2,kmeans
WNAI55,0,kmeans
CARNEIRO4_081,0,kmeans
WNAI127,1,kmeans
Ni9,0,kmeans
WNAI63,0,kmeans
WNAI68,0,kmeans
CARNEIRO6_059,0,kmeans
Sa4,2,kmeans
Ca10,0,kmeans
Cb12,0,kmeans
Cj7,4,kmeans
Cj1,4,kmeans
SCCS97,0,kmeans
Ag48,0,kmeans
SCCS56,0,kmeans
Nd17,0,kmeans
Ah31,0,kmeans
SCCS47,6,kmeans
SCCS71,3,kmeans
CARNEIRO4_102,0,kmeans
Ac38,2,kmeans
Ac40,0,kmeans
SCCS17,3,kmeans
Ai11,0,kmeans
Aj30,0,kmeans
If4,2,kmeans
Ie33,0,kmeans
Ie19,4,kmeans
SCCS117,7,kmeans
WNAI5,1,kmeans
WNAI47,0,kmeans
Cb7,0,kmeans
Aj3,4,kmeans
If7,0,kmeans
Af8,4,kmeans
CARNEIRO6_025,0,kmeans
SCCS8,3,kmeans
Ad15,0,kmeans
Ad20,2,kmeans
Ab7,2,kmeans
Ad45,0,kmeans
Ad26,0,kmeans
Ad2,2,kmeans
Nj1,2,kmeans
Aa2,4,kmeans
CARNEIRO4_005,0,kmeans
SCCS75,3,kmeans
CARNEIRO6_005,0,kmeans
CARNEIRO6_040,0,kmeans
CARNEIRO4_123,0,kmeans
Ii5,2,kmeans
WNAI8,0,kmeans
Ni8,0,kmeans
Cd14,0,kmeans
Eg7,0,kmeans
ec20,0,kmeans
ec19,0,kmeans
Ae45,0,kmeans
Ie39,0,kmeans
SCCS92,0,kmeans
Nf11,0,kmeans
SCCS30,0,kmeans
Na40,0,kmeans
Aj12,2,kmeans
Af6,4,kmeans
Sf5,2,kmeans
WNAI92,1,kmeans
Ia6,2,kmeans
SCCS111,3,kmeans
Sd3,4,kmeans
SCCS87,3,kmeans
Nd32,0,kmeans
Nj4,4,kmeans
Ag20,0,kmeans
Sb5,4,kmeans
Si7,4,kmeans
Aj31,0,kmeans
Ah39,0,kmeans
WNAI67,0,kmeans
SCCS142,3,kmeans
Ad29,2,kmeans
CARNEIRO4_115,0,kmeans
Ij10,2,kmeans
WNAI15,0,kmeans
Eb7,0,kmeans
Ac2,2,kmeans
Sc17,0,kmeans
Sc8,0,kmeans
Nh9,0,kmeans
CARNEIRO6_049,0,kmeans
Ad21,0,kmeans
CARNEIRO6_066,0,kmeans
Ne19,2,kmeans
If5,4,kmeans
Aj13,0,kmeans
Ae26,0,kmeans
Ad33,0,kmeans
CARNEIRO4_023,0,kmeans
Na14,2,kmeans
Nf12,2,kmeans
Ai28,0,kmeans
Sa15,0,kmeans
Sa17,4,kmeans
CARNEIRO4_100,0,kmeans
Na42,0,kmeans
Ah38,0,kmeans
Ii3,2,kmeans
Ag6,0,kmeans
Cb23,0,kmeans
Sc2,2,kmeans
Ib9,0,kmeans
Ie8,2,kmeans
Nj8,2,kmeans
Ei6,0,kmeans
Ia11,2,kmeans
Ei7,2,kmeans
Ea12,0,kmeans
CARNEIRO4_127,0,kmeans
Ca31,2,kmeans
Cf5,0,kmeans
Na44,0,kmeans
WNAI141,1,kmeans
WNAI26,1,kmeans
WNAI24,0,kmeans
SCCS74,0,kmeans
Na37,0,kmeans
Ij4,4,kmeans
Ei9,0,kmeans
If12,4,kmeans
Ij9,4,kmeans
Ij1,2,kmeans
If3,2,kmeans
Na36,4,kmeans
CARNEIRO4_028,0,kmeans
Ii10,0,kmeans
Ah15,4,kmeans
Ih6,2,kmeans
Ae8,2,kmeans
SCCS54,0,kmeans
Eb6,0,kmeans
Ig6,2,kmeans
SCCS101,0,kmeans
WNAI18,0,kmeans
Ad17,0,kmeans
Cd19,0,kmeans
Cd18,0,kmeans
Ac24,0,kmeans
Eh8,4,kmeans
WNAI80,1,kmeans
Ie36,0,kmeans
Ab21a,0,kmeans
Ah28,0,kmeans
Ah29,0,kmeans
Aj29,2,kmeans
Ii1,4,kmeans
Cj9,2,kmeans
Sa1,2,kmeans
Aa6,4,kmeans
Ad23,0,kmeans
Ae19,0,kmeans
WNAI167,1,kmeans
WNAI166,1,kmeans
Nj6,0,kmeans
WNAI100,0,kmeans
Ef3,0,kmeans
Ac14,4,kmeans
SCCS62,7,kmeans
WNAI168,1,kmeans
WNAI164,1,kmeans
WNAI163,1,kmeans
Sd8,0,kmeans
Af49,2,kmeans
Sc6,2,kmeans
Ai22,0,kmeans
Ne7,4,kmeans
Sd5,0,kmeans
Ca8,2,kmeans
Na28,2,kmeans
Ic6,4,kmeans
Ec11,0,kmeans
Ej14,2,kmeans
CARNEIRO4_032,0,kmeans
Ch1,2,kmeans
Ag22,0,kmeans
Ni4,0,kmeans
WNAI84,1,kmeans
CARNEIRO4_039,0,kmeans
Ad10,0,kmeans
Nb32,4,kmeans
Nf13,2,kmeans
Ca42,0,kmeans
Ee6,2,kmeans
Af14,0,kmeans
Ae13,0,kmeans
Ai6,4,kmeans
Ee5,2,kmeans
Se9,2,kmeans
Ab18,4,kmeans
CARNEIRO4_121,0,kmeans
CARNEIRO4_071,0,kmeans
WNAI96,0,kmeans
Ei18,2,kmeans
Ie17,4,kmeans
SCCS67,3,kmeans
Ca16,2,kmeans
Ih12,0,kmeans
Ig8,2,kmeans
Ea1,0,kmeans
Eh6,2,kmeans
Ie32,0,kmeans
CARNEIRO6_069,0,kmeans
WNAI30,0,kmeans
CARNEIRO4_049,0,kmeans
Cc3,2,kmeans
Af37,0,kmeans
WNAI14,0,kmeans
Ad46,4,kmeans
Ac29,0,kmeans
Ac25,2,kmeans
Ae11,0,kmeans
Ae18,2,kmeans
Ag25,0,kmeans
Ch2,4,kmeans
ch26,0,kmeans
Ei15,0,kmeans
Ai12,0,kmeans
Ag39,0,kmeans
Ag5,0,kmeans
Ag42,0,kmeans
Ab8,2,kmeans
Aj11,2,kmeans
Ag29,0,kmeans
Ih2,2,kmeans
Ih10,4,kmeans
SCCS86,7,kmeans
Ie23,0,kmeans
CARNEIRO4_052,0,kmeans
WNAI74,0,kmeans
WNAI4,1,kmeans
Nb10,4,kmeans
SCCS128,0,kmeans
WNAI171,1,kmeans
WNAI99,0,kmeans
WNAI25,1,kmeans
Nd27,2,kmeans
Nd52,0,kmeans
Na45,0,kmeans
WNAI65,0,kmeans
WNAI70,0,kmeans
Si4,2,kmeans
Ai17,0,kmeans
Cd13,0,kmeans
Cd16,0,kmeans
Cj5,4,kmeans
Cj6,0,kmeans
WNAI16,0,kmeans
Ce6,4,kmeans
Cf3,0,kmeans
